expiry,closed_time,formatted_experience_level,skills_desc,listed_time,posting_domain,sponsored,work_type,currency,compensation_type,,job_id,company_id
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,USD,BASE_SALARY,,85008768,-1
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,133114754,77766802
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,CONTRACT,Unknown,Unknown,,133196985,1089558
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,381055942,96654609
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,529257371,1244539
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,USD,BASE_SALARY,,903408693,3894635
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,967848246,18995316
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,FULL_TIME,Unknown,Unknown,,1004740969,882349
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,PART_TIME,USD,BASE_SALARY,,1029078768,61469
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,1053342128,-1
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,1418582485,-1
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,FULL_TIME,Unknown,Unknown,,1483357774,-1
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,PART_TIME,USD,BASE_SALARY,,1535492735,-1
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,0,CONTRACT,USD,BASE_SALARY,,1657978824,89350959
1.71E+12,Unknown,Unknown,Unknown,1.69E+12,Unknown,1,CONTRACT,Unknown,Unknown,,1928027033,11544533
1.7E+12,Unknown,Entry level,Unknown,1.69E+12,jobs.gecareers.com,0,FULL_TIME,Unknown,Unknown,,2148434014,1016
1.7E+12,Unknown,Entry level,Unknown,1.69E+12,jobs.gecareers.com,0,FULL_TIME,Unknown,Unknown,,2148434019,1016
1.7E+12,Unknown,Entry level,Unknown,1.69E+12,careers.racetrac.com,0,FULL_TIME,Unknown,Unknown,,2148434032,17109
1.7E+12,Unknown,Associate,Unknown,1.69E+12,execusource.com,0,CONTRACT,USD,BASE_SALARY,,2148434033,1082195
1.7E+12,Unknown,Entry level,Unknown,1.69E+12,jobs.silkroad.com,0,FULL_TIME,Unknown,Unknown,,2148434077,88016
1.7E+12,Unknown,Mid-Senior level,Unknown,1.69E+12,genesys.wd1.myworkdayjobs.com,0,FULL_TIME,Unknown,Unknown,,2148434137,601919
1.7E+12,Unknown,Mid-Senior level,Unknown,1.69E+12,www.ayalocums.com,0,FULL_TIME,Unknown,Unknown,,2148434265,34218836
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,elastic.ongig.com,0,FULL_TIME,Unknown,Unknown,,2148434427,814025
1.7E+12,Unknown,Mid-Senior level,Unknown,1.69E+12,invitationhomes.wd1.myworkdayjobs.com,0,FULL_TIME,USD,BASE_SALARY,,2148434586,2780388
1.7E+12,Unknown,Mid-Senior level,Unknown,1.69E+12,www.tesla.com,0,FULL_TIME,USD,BASE_SALARY,,2148434616,15564
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,jobs.smartrecruiters.com,0,FULL_TIME,Unknown,Unknown,,2148434647,7361
1.7E+12,Unknown,Unknown,Unknown,1.69E+12,careers.wipro.com,0,FULL_TIME,Unknown,Unknown,,2148434686,1318
1.7E+12,Unknown,Entry level,Unknown,1.69E+12,multicare.wd1.myworkdayjobs.com,0,FULL_TIME,USD,BASE_SALARY,,2148434725,13074
1.7E+12,Unknown,Entry level,Unknown,1.69E+12,multicare.wd1.myworkdayjobs.com,0,FULL_TIME,USD,BASE_SALARY,,2148434726,13074
